Title,Organization,Price,Info
"Power BI Dashboard de Proyectos de Project y Primavera P6
Crea tus dashboard tus proyectos de Primavera P6 y Ms Project con Power BI",Dario Hernán Tarnowski,"Precio actual
14,99 €
Precio original
24,99 €","7,5 horas en total28 clasesTodos los niveles"
"Excel para la Gestión Administrativa Empresarial
Desde Cero hasta Avanzado",Wilmer Ocampo,"Precio actual
14,99 €
Precio original
19,99 €","12,5 horas en total9 clasesTodos los niveles"
"Microsoft Access – ISO 45001- Autoevaluación (SG-SST) .
Módulo 1 - Aprende a utilizar Access y desarrolla una base de datos para realizar la Autoevaluación de tu SG-SST",Christian Magallón García,"Precio actual
14,99 €
Precio original
94,99 €",8 horas en total18 clasesTodos los niveles
"Curso completo de ZOHO DESK
Aprende a configurar la herramienta de manera fácil y sencilla",Andrés G,"Precio actual
14,99 €
Precio original
19,99 €","7,5 horas en total17 clasesTodos los niveles"
"Excel 2022 - De Iniciación hasta Experto ¡En 6 horas!
Conviértete en experto de Excel aprendiendo a RAZONAR esta herramienta en vez de memorizando.",Renato Jesús Yacolca Neyra,"Precio actual
14,99 €
Precio original
94,99 €","6,5 horas en total72 clasesTodos los niveles"
"Microsoft Excel: De Cero a Héroe
Todo lo que necesitas saber sobre Excel, desde fórmulas y funciones esenciales, hasta consejos y trucos prácticos",Luciano Sívori,"Precio actual
14,99 €
Precio original
19,99 €","10,5 horas en total127 clasesTodos los niveles"
"Power Apps 101: Principios fundamentales para crear apps
Aprende a crear aplicaciones empresariales con office 365 y powerapps","Álvaro García, Cursos Online Arquitectura, Formación Certificada","Precio actual
14,99 €
Precio original
19,99 €","7,5 horas en total92 clasesPrincipiante"
"Formulas y funciones matriciales
Microsoft Excel",Jesús Bédmar Guerrero,"Precio actual
14,99 €
Precio original
94,99 €",30 horas en total150 clasesExperto
"CREACION DE CONTENIDOS PARA MARKETING DIGITAL
Crear contenido para tus redes sociales, videos, infografías, presentaciones de producto y muchas cosas más",Jesús Bédmar Guerrero,"Precio actual
14,99 €
Precio original
29,99 €","3,5 horas en total40 clasesTodos los niveles"
"Microsoft SharePoint - Curso Completo SharePoint, Office 365
Mejora la productividad de tu equipo con SharePoint. Centraliza y organiza el día a día de tu equipo en un único lugar",Alvaro Guerra,"Precio actual
14,99 €
Precio original
29,99 €",9 horas en total75 clasesTodos los niveles
