Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Microsoft Planner - Curso Completo Planner - Office 365
Organizar y gestionar las tareas de un equipo es muy sencillo con Microsoft Planner",Diana Padilla,3 horas en total,28,Todos los niveles,"14,99 €","94,99 €"
"Power BI para Reportes y Cuadros de Mando
Una guía pasos de Power BI para el desarrollo de informes empresariales",CeleriTech Academy,12 horas en total,135,Todos los niveles,"14,99 €","49,99 €"
"Curso Excel - Funciones, Tablas Dinámicas y Dashboard
Curso de Excel: Fórmulas, Funciones, Gráficos, Tabla Dinámica y Dashboard.",Emilio Doporto,"3,5 horas en total",51,Intermedio,"14,99 €","94,99 €"
"Google Sheets. La hoja de Cálculo - Formulas y Funciones
Aprende a usar La hoja de Cálculo de Google con ejercicios de fórmulas y funciones, además desde tu dispositivo móvil.",Alfonso Rinsche,6 horas en total,34,Principiante,"14,99 €","34,99 €"
"Excel para principiantes
Excel para personas que trabajen en cualquier empresa.",Alfonso Rinsche,8 horas en total,6,Intermedio,"14,99 €","94,99 €"
"Curso Oracle Netsuite Funcional + WMS en Español
Aprende a usar Netsuite ERP N° 1 en la nube",Etraining S.A DE C.V,"9,5 horas en total",46,Todos los niveles,"14,99 €","49,99 €"
"Fundamentos de Excel 365 para la Oficina
Domina la herramienta de oficina por excelencia",Ricardo Naya,3 horas en total,61,Principiante,"14,99 €","94,99 €"
"Curso completo de Publisher Última Versión
Aprende a crear afiches, trípticos, bípticos con Publisher desde cero.",Ricardo Naya,3 horas en total,10,Principiante,"14,99 €","89,99 €"
"Microsoft Word para principiantes
Herramientas de oficina para crear escritos",Excel Free Blog,"4,5 horas en total",5,Intermedio,"14,99 €","59,99 €"
"Comienza con Excel: Curso destacado para principiantes
Introducción a Excel",Eduardo Mauricio,"2,5 horas en total",15,Principiante,"14,99 €","19,99 €"
"EXCEL BASICO DESDE CERO.
Curso Basico de Excel.",Juan Antonio Ventura Machado,"6,5 horas en total",38,Principiante,"14,99 €","19,99 €"
"Power Query para Power BI y Excel
Recopila, consolida, adecua y transforma datos con Power Query",Freddy Valderrama,9 horas en total,72,Todos los niveles,"39,99 €",
"Curso completo de Microsoft Visio Última Versión
Aprende Visio desde lo más básico y crea diagramas para conectar datos en tiempo real",Miguel Angel Franco García,4 horas en total,18,Principiante,"14,99 €","19,99 €"
"Excel comercial
Excel comercial y fundamentos teóricos para iniciar el camino a la programación.",Elena Aguiar Rodríguez,3 horas en total,20,Todos los niveles,"14,99 €","54,99 €"
"Graficas dinamicas en Excel y formatos condicional a tablas
Aprende a crear y combinar graficas con formatos condicionales, funciones y tablas, trucos de graficas y mas",Ing. Víctor Hugo Ayohua Juárez,2 horas en total,11,Intermedio,"24,99 €",
"Google Sheets - Hojas de cálculo - Nivel intermedio
Los mejores tips, sin rellenos innecesarios, directo al grano.",Edder Rodriguez,3 horas en total,28,Intermedio,"14,99 €","49,99 €"
"SAP Tips Imprescindibles
Aprende los mejores Tips de SAP",Ivan AlsiGo,12 horas en total,46,Todos los niveles,"14,99 €","94,99 €"
"Microsoft Project 2019 y Power Bi
Gestión de Proyectos con Microsoft Project 2019",Jose Gregorio Guevara Liendo,"7,5 horas en total",62,Todos los niveles,"14,99 €","19,99 €"
"Gestion de Proyectos Oracle Primavera P6 ver 21 y Power BI
Aprende desde cero a nivel experto a manejar Primavera P6 versión 21",Jose Gregorio Guevara Liendo,33 minutos en total,5,Todos los niveles,"14,99 €","19,99 €"
"TYPINATOR | Automatización de expansión de texto en MacOS
Curso de introducción al uso de Typinator en MacOS para ser más productivo con el uso rutinario de textos en el trabajo",Miguel Aspiazu,2 horas en total,9,Principiante,"14,99 €","19,99 €"
"Curso completo de Outlook Última Versión
Aprende todo lo que necesitas saber de Outlook para aprovechar al máximo tu correo",Yoney Gallardo,"10,5 horas en total",114,Principiante,"14,99 €","19,99 €"
"Programa algoritmos en VBA (100 casos prácticos)
Aumenta tu productividad en Excel programando algoritmos en VBA.",Wilmer Cordoba,"4,5 horas en total",23,Principiante,"14,99 €","19,99 €"
"Curso completo de PowerPoint Última versión
Aprende PowerPoint desde cero a profesional",Miguel Aspiazu,"15,5 horas en total",49,Todos los niveles,"14,99 €","19,99 €"
"Excel 3 Niveles Completo - Desde Inicial a Profesional
Excel básico","Numpi Cursos, Juan Carlos Hernandez Ramirez","8,5 horas en total",94,Todos los niveles,"14,99 €","94,99 €"
"Power Apps - Curso Completo de Microsoft Power Apps
Crea aplicaciones sin programar con Microsoft Power Apps, una herramienta de la Microsoft Power Platform",Alfonso Rinsche,3 horas en total,32,Principiante,"14,99 €","34,99 €"
"Análisis de datos con Excel
Análisis de datos con Excel para la industria farmacéutica",Alfonso Rinsche,"1,5 horas en total",18,Intermedio,"14,99 €","94,99 €"
"Procedimientos de Integración de SAP y Excel mediante Script
Método de automatizar rutinas mediante SAP Scripting 2022 y macros de Excel",Etraining S.A DE C.V,"2,5 horas en total",10,Principiante,"14,99 €","49,99 €"
"Microsoft Excel - Diseño Dashboard para Análisis de datos
Aprende a importar datos a Microsoft Excel para analizar resultados de una base de datos creada en Microsoft Access",Ricardo Naya,10 horas en total,46,Todos los niveles,"14,99 €","94,99 €"
"Curso SAP FI Completo
SAP FI desde cero y completo",Ricardo Naya,1 hora en total,7,Principiante,"14,99 €","89,99 €"
"Cómo Escribir Correos Electrónicos Eficientes
Optimizando la gestión administrativa",Rogelio Salinas,3 horas en total,13,Principiante,"14,99 €","29,99 €"
"Curso completo de Excel Última versión
Aprende la última versión de Excel desde cero",Ivan AlsiGo,"2,5 horas en total",45,Intermedio,"14,99 €","94,99 €"
"SQL: Conviértete en Analista de Datos! INTENSIVO
Completo en Español! De Cero a Avanzado + Recursos Free + Hoja Resumen + Simulacro Examen Laboral",Excel Free Blog,"3,5 horas en total",27,Intermedio,"14,99 €","19,99 €"
