Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Angular Framework Intermedio - Código y UI de Calidad
Monorepos, UI Frameworks, Scaffolding, Storybook y mucho más",Francisco Javier Arce Anguiano,"13,5 horas en total",101,Intermedio,"15,99 €","19,99 €"
"Crea un bot de telegram automatizado con Node-Red
Aprende a crear un bot automatizado de telegram con Node-Red",Pixel Pro Web,"2,5 horas en total",33,Principiante,"19,99 €","24,99 €"
"Aprende a generar PDF's avanzados con Javascript
Crear PDF's con diseños profesionales en tu aplicativo con Javascript.",Lucas Patrón,3 horas en total,20,Principiante,"14,99 €","19,99 €"
"Cómo crear un sitio web con PHP y Mysql
Aprenda uno de los lenguajes de programación más populares haciendo un proyecto web real",Juan Camilo Perdomo,"8,5 horas en total",50,Todos los niveles,"14,99 €","24,99 €"
"TypeScript: La Guía Completa - De Cero a Profesional 2023
Domina Typescript y su tipado, escribe código seguro y mejora x100 tu carrera como desarrollador","Alvaro Chirou • 1.300.000+ Enrollments Worldwide, Walter Coto || +400,000 Estudiantes",4 horas en total,51,Todos los niveles,"14,99 €","94,99 €"
"APIs REST con Spring Boot: Facturación Electrónica - SIAT
Aprende las bases necesarias de Facturación Electrónica y API's REST con Spring Boot",Edumar Group,"8,5 horas en total",90,Intermedio,"14,99 €","19,99 €"
"WhatsApp API, Python y ChatGPT Enviar y recibir mensajes Bot
WhatsApp Cloud API | Meta | Python | ChatGPT | Postman | REST | Web API | Deploy","Academia Apps, Codigo 369","2,5 horas en total",40,Todos los niveles,"14,99 €","94,99 €"
"Curso Avanzado SQL Oracle para Empresas y Desarrollo
Curso Avanzado SQL Oracle para Empresas y Desarrollo",Nicolas Schurmann,"1,5 horas en total",22,Intermedio,"14,99 €","29,99 €"
"Curso CodeIgniter 4 con Pagos en Paypal
Curso CodeIgniter 4 Avanzado con Paypal Checkout, aplicaciones seguras y mas",Programee Academy,"2,5 horas en total",26,Experto,"14,99 €","94,99 €"
"Aprende Java desde cero a experto con ejercicios
Aprende a programar con Java a través de ejercicios prácticos y desafiantes",Roboticoss | Edison Sásig,"1,5 horas en total",17,Todos los niveles,"29,99 €",
"Aprende Lenguaje C, C++ y C# de CERO a EXPERTO
Aprende a programar en C, C++ y C# sin ningún conocimiento previo","Alain Nicolás Tello, Frogames Support Team, María Santos","7,5 horas en total",76,Todos los niveles,"14,99 €","94,99 €"
"Aplicación de empleados en PHP y MYSQL
Aprenda a usar PHP haciendo una aplicación de empleados funcional y usable.","Federico Garay, Escuela Directa",6 horas en total,40,Todos los niveles,"14,99 €","19,99 €"
"Crea un sitio web profesional en Wordpress + Tienda en línea
Crea tu sitio web profesional con Wordpress + Tienda en línea sin Programación",Portal Ingeniería | +60.000 Students,20 horas en total,115,Principiante,"14,99 €","19,99 €"
"Fundamentos de Programación 1: Conceptos preliminares
Programación para principiantes",Alonso Nava,2 horas en total,16,Principiante,"14,99 €","24,99 €"
"SQL y Ms Access para consultar Bases de Datos Relacionales
Aprovecha el entorno gráfico de Microsoft Access para aprender SQL paso a paso, desde cero, de forma fácil y práctica.",Daniel Martínez Díaz,7 horas en total,56,Todos los niveles,"14,99 €","24,99 €"
"Analytics Engineering en Google Cloud con DBT
Aprende este nuevo enfoque para transformar datos que ya están adoptando grandes empresas en el mundo como Spotify.",Daniel Blanco Calviño,2 horas en total,16,Principiante,"14,99 €","49,99 €"
"De 0 a desarrollador full stack Docker, PostgreSQL, Django
Conocimientos básicos de tecnologías requeridas en el desarrollo e implementación de apps en Linux y Docker.",Gdl Estore,20 horas en total,115,Principiante,"19,99 €",
"Curso HTML5 y CSS principiante desde cero (0)
De retador a campeón!. Vamos desde cero con HTML Y CSS y crearás tu primera página web!.",César Cancino Zapata,1 hora en total,59,Principiante,"14,99 €","24,99 €"
